kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
9579641,K00115.03,3,CANDIDATE,0.871,3.43591631,7.4337807,0.55,0.08,-0.07,0.004612,0.000197,-0.0005650000000000001,1.036,0.045,-0.042,5779,0.5229166974578404,0.031856115876833624,-0.06747728722289187,103,9579641,3.436,0.04,0.8236728775880967,0.08446582031292448,0.9802498319060576,0.04,0.9410398386298153
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,6e-05,-0.001886,1.036,0.045,-0.042,5779,2.80903321325195,0.122203492213546,-0.242271098692636,101,9579641,5.412,7.1e-06,0.999375167613531,5.364446536442726e-17,1.0,7.1e-06,0.9999929
9579641,K00115.02,2,CANDIDATE,1.0,7.12594387,39.793564,1.79,0.26,-0.23,0.015119999999999996,0.000323,-0.002193,1.036,0.045,-0.042,5779,1.7143322778756602,0.08298262831470148,-0.25817664781460364,102,9579641,7.126,5.1e-05,0.9993750339298091,6.973910198826578e-05,0.99999995638513,5.1e-05,0.9999489563873543
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,0.769,0.038,-0.036000000000000004,4959,2.400181525720488,0.14886658095479272,-0.11838624957328094,973,5456651,11.763,4e-05,0.9993750251358627,8.303085157130636e-05,0.9999999480710415,4e-05,0.9999599480731186
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,0.769,0.038,-0.036000000000000004,4959,2.4139838950257992,0.48461186380060506,-0.24343961350364815,1007,5456651,56.228,0.00072,0.9968336280619688,0.04607496577289637,0.9998465771583022,0.00072,0.9991266876227481
7907423,K00899.03,3,CANDIDATE,0.998,15.36845737,24.263742,1.11,0.12,-0.16,0.02471,0.000906,-0.0006,0.512,0.013999999999999999,-0.013999999999999999,3561,1.384605849484017,0.06333003383855229,-0.05063342928031436,679,7907423,15.368,0.00055,0.999258666791476,0.002851321974519683,0.9999978786033696,0.00055,0.9994478797701377
7907423,K00899.01,1,CANDIDATE,0.9990000000000001,7.11373257,35.776676,1.16,0.13,-0.17,0.025862,0.000573,-0.000797,0.512,0.013999999999999999,-0.013999999999999999,3561,1.449157283664737,0.05100069401090419,-0.059704466917266025,677,7907423,7.114,0.00068,0.9993743834493708,0.0001722209705802573,0.999999892169691,0.00068,0.9993198922430155
7907423,K00899.02,2,CANDIDATE,0.9990000000000001,3.306551643,30.518122,0.91,0.1,-0.13,0.020275,0.000698,-0.00044,0.512,0.013999999999999999,-0.013999999999999999,3561,1.1360940347344577,0.04994776119555001,-0.039659938455529446,678,7907423,3.307,0.00067,0.9993669636276125,0.0005089050657988732,0.9999996774763841,0.00067,0.9993296776924749
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,1.097,0.09699999999999999,-0.087,5942,4.393512179949031,0.38867287158145686,-0.5367780272720292,680,7938496,13.81,0.046,0.9993750631368177,7.543388070716928e-05,0.9999999528255499,0.046,0.9539999549955746
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.687,0.021,-0.021,3950,6.204319425198214,0.2020533699396651,-0.2352808356439783,681,8013419,12.733,0.06,0.999375167613531,2.0557705815436832e-21,1.0,0.06,0.94
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.706,0.021,-0.021,3960,6.646030811571859,0.20294427934883286,-0.22348199378022454,682,8018547,83.925,0.0052,0.999375167613531,5.869460175109604e-12,0.9999999999999963,0.0052,0.9947999999999964
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6759999999999999,0.034,-0.032,4500,1.9449310871507675,0.2098210733881385,-0.18129498550818665,684,8150320,2.211,0.0001,0.999372049171911,0.0003001897379353669,0.99999981132052,0.0001,0.9998998113393879
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6759999999999999,0.034,-0.032,4500,1.9955352510067954,0.14599045736379432,-0.10751512869051259,685,8150320,27.954,0.019,0.9938828270062786,0.02932099072398266,0.9998140832245946,0.019,0.9808176156433274
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274,0.001477,-0.000608,0.6759999999999999,0.034,-0.032,4500,1.9438213467153282,0.146624312420845,-0.10242134851587632,719,8150320,42.141,0.00083,0.9862818023195693,0.06797569426436283,0.9989855691447875,0.00083,0.9981564111223974
